thickness_0,material_0,thickness_1,material_1,thickness_2,material_2,thickness_3,material_3,thickness_4,material_4,thickness_5,material_5,thickness_6,material_6,thickness_7,material_7,thickness_8,material_8,thickness_9,material_9,thickness_10,material_10,thickness_11,material_11,thickness_12,material_12,thickness_13,material_13,thickness_14,material_14,thickness_15,material_15,thickness_16,material_16,thickness_17,material_17,thickness_18,material_18,thickness_19,material_19,thickness_20,material_20,thickness_21,material_21,thickness_22,material_22,thickness_23,material_23,thickness_24,material_24,thickness_25,material_25,thickness_26,material_26,thickness_27,material_27,thickness_28,material_28,thickness_29,material_29,thickness_30,material_30,thickness_31,material_31,thickness_32,material_32,thickness_33,material_33,thickness_34,material_34,thickness_35,material_35,thickness_36,material_36,thickness_37,material_37,thickness_38,material_38,thickness_39,material_39,thickness_40,material_40,thickness_41,material_41,thickness_42,material_42,thickness_43,material_43,thickness_44,material_44,thickness_45,material_45,thickness_46,material_46,thickness_47,material_47,thickness_48,material_48,thickness_49,material_49,thickness_50,material_50,thickness_51,material_51,thickness_52,material_52,thickness_53,material_53,thickness_54,material_54,thickness_55,material_55,thickness_56,material_56,thickness_57,material_57,thickness_58,material_58,thickness_59,material_59,reflectivity,absorption,thermal_noise,reflectivity_reward,absorption_reward,thermal_noise_reward
0.2395829,2,0.23792888,1,0.29256284,2,0.3999988,1,0.3999988,2,0.1667912,1,0.14489773,2,0.136738,1,0.16112338,2,0.12114489,1,0.12986983,2,0.12620665,1,0.13580571,2,0.12669158,1,0.16517526,2,0.13346916,1,0.12859875,2,0.11993406,1,0.1329159,2,0.13167481,1,0.14834046,2,0.12859327,1,0.1308856,2,0.12270826,1,0.12034252,2,0.14494829,1,0.13979721,2,0.14166127,1,0.14972925,2,0.11809107,1,0.15377799,2,0.13636446,1,0.1435616,2,0.13971436,1,0.13748106,2,0.13303557,1,0.16396454,2,0.12375772,1,0.13176697,2,0.12821113,1,0.15741754,2,0.119854376,1,0.14039013,2,0.1469785,1,0.12821418,2,0.16680412,1,0.13807441,2,0.14422028,1,0.1450204,2,0.12483576,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.238709144668693,2.8348713513962798,2.5596775406447217e-21,0.019741564490902506,0.5515590587935849,0.7960991883022047
0.21524267,2,0.39893246,1,0.39999878,2,0.39999884,1,0.3721951,2,0.39999884,1,0.26552403,2,0.13597171,1,0.1786636,2,0.15176348,1,0.12176608,2,0.15308574,1,0.16911492,2,0.13887611,1,0.1316499,2,0.15343873,1,0.14708874,2,0.16364445,1,0.123512715,2,0.12715048,1,0.14072326,2,0.1237192,1,0.16546091,2,0.12979075,1,0.12689057,2,0.16170381,1,0.14455901,2,0.12154283,1,0.17242701,2,0.14222194,1,0.137717,2,0.13557969,1,0.1339629,2,0.15564163,1,0.12677166,2,0.13095751,1,0.16444647,2,0.12489117,1,0.14451815,2,0.14922485,1,0.12204908,2,0.16085991,1,0.1514981,2,0.12859577,1,0.1565421,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.297754168005172,2.4773082685059005,2.592385626196833e-21,0.025585138294291293,0.5591644011749135,0.795284930584614
0.24013871,2,0.31585807,1,0.3999988,2,0.3999988,1,0.37926316,2,0.32024738,1,0.3999988,2,0.2665154,1,0.20211199,2,0.18319574,1,0.13684188,2,0.1128953,1,0.11355373,2,0.14803644,1,0.13818483,2,0.13049586,1,0.1389438,2,0.1572426,1,0.13043483,2,0.12911667,1,0.1294262,2,0.14973,1,0.12802453,2,0.16011685,1,0.21262352,2,0.18524401,1,0.11524446,2,0.113743156,1,0.11429915,2,0.116155446,1,0.1140499,2,0.11857423,1,0.10771884,2,0.113574706,1,0.10677328,2,0.10799451,1,0.11841679,2,0.17665824,1,0.15052092,2,0.13547388,1,0.13631487,2,0.11699253,1,0.11111109,2,0.11996944,1,0.11151312,2,0.10585783,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.39622251670465397,2.534096388467406,2.5895616423368498e-21,0.03652051452962871,0.5578859083695883,0.7953548100782102
0.14327937,2,0.12746917,1,0.13885818,2,0.16612095,1,0.13308632,2,0.14763713,1,0.12197269,2,0.1405742,1,0.15604904,2,0.17468685,1,0.14612952,2,0.1317472,1,0.13046484,2,0.17971155,1,0.14370689,2,0.14302221,1,0.18010178,2,0.14180791,1,0.17033789,2,0.17139265,1,0.15213846,2,0.17737225,1,0.14422382,2,0.15422383,1,0.15765914,2,0.14082684,1,0.13936952,2,0.13121374,1,0.14048092,2,0.14180146,1,0.14148027,2,0.15433562,1,0.13502103,2,0.13884744,1,0.12787226,2,0.14646332,1,0.16402921,2,0.17304069,1,0.1401649,2,0.15887836,1,0.17844363,2,0.19410712,1,0.1658094,2,0.29057282,1,0.30472356,2,0.22437674,1,0.26153368,2,0.31361705,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5438504309778461,1.5982625570921005,3.1050570496817737e-21,0.0568154551882486,0.583886140166458,0.7837549447789138
0.39999986,1,0.39999977,2,0.23046064,1,0.32009384,2,0.20169212,1,0.20355986,2,0.3999988,1,0.27990168,2,0.21649694,1,0.26180595,2,0.17039917,1,0.1759283,2,0.18432847,1,0.15656994,2,0.16198064,1,0.14714463,2,0.12991193,1,0.14001623,2,0.15151575,1,0.14045008,2,0.14295591,1,0.12622944,2,0.15691364,1,0.1192027,2,0.11552614,1,0.1324375,2,0.11253826,1,0.114652134,2,0.11632244,1,0.11288968,2,0.12580378,1,0.11704986,2,0.11338131,1,0.10788497,2,0.11311857,1,0.10615949,2,0.10800269,1,0.108009145,2,0.10556794,1,0.106436856,2,0.1067607,1,0.11100224,2,0.11728072,1,0.14482227,2,0.26355857,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.6145632584361453,2.2133359112170043,2.6025107855611475e-21,0.0690078148007862,0.5655201502811747,0.7950350326911684
0.29607686,2,0.27792382,1,0.29655996,2,0.21209748,1,0.22247916,2,0.27207237,1,0.22407055,2,0.3336996,1,0.3999999,2,0.11682176,1,0.12951978,2,0.11379732,1,0.116427585,2,0.12459298,1,0.121124186,2,0.12646766,1,0.13012521,2,0.15402003,1,0.1242612,2,0.14148195,1,0.12367037,2,0.1257079,1,0.11775954,2,0.13254972,1,0.1486229,2,0.20813812,1,0.21115038,2,0.16332468,1,0.14926796,2,0.121612,1,0.11661968,2,0.12451042,1,0.12391124,2,0.12772943,1,0.10996227,2,0.1170973,1,0.12436995,2,0.12126019,1,0.17630565,2,0.13545132,1,0.13772705,2,0.15879554,1,0.16959651,2,0.16938421,1,0.1041442,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.6478816556749498,2.872322613430612,2.598694201142777e-21,0.07555189148040557,0.5508187179019287,0.7951291104408027
0.13385715,2,0.12789215,1,0.13087827,2,0.14290878,1,0.13033822,2,0.1739756,1,0.12693937,2,0.1280919,1,0.13136232,2,0.13621002,1,0.12173809,2,0.14303857,1,0.14673172,2,0.14656803,1,0.12032412,2,0.13089569,1,0.120505065,2,0.15192577,1,0.118724704,2,0.124819025,1,0.12291297,2,0.15244266,1,0.15221554,2,0.21516247,1,0.22576688,2,0.2647337,1,0.27856535,2,0.29869196,1,0.27012554,2,0.30095056,1,0.2730912,2,0.3161772,1,0.2766121,2,0.28724492,1,0.29241106,2,0.2910468,1,0.28184903,2,0.30950567,1,0.27387965,2,0.29154718,1,0.28528193,2,0.30498338,1,0.25746742,2,0.28725368,1,0.26935682,2,0.26407427,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.6893089959900467,1.5119972224250422,3.1107088162593177e-21,0.08461188691095677,0.587016056489908,0.7836391257182703
0.29780588,2,0.25141355,1,0.20697543,2,0.23814169,1,0.19614106,2,0.18101084,1,0.20442975,2,0.13623452,1,0.13328461,2,0.20251274,1,0.16083124,2,0.14728463,1,0.13176939,2,0.14124832,1,0.18301561,2,0.1882983,1,0.1814311,2,0.14392546,1,0.16659608,2,0.1609523,1,0.17564934,2,0.14520544,1,0.18715079,2,0.18306002,1,0.19510877,2,0.21698028,1,0.19522303,2,0.15973286,1,0.20456842,2,0.13783517,1,0.1575534,2,0.18339606,1,0.17986634,2,0.14640881,1,0.22026722,2,0.19603963,1,0.19564617,2,0.18897334,1,0.22829656,2,0.21346758,1,0.22292139,2,0.15784033,1,0.14389747,2,0.20077603,1,0.15078062,2,0.20807824,1,0.19560286,2,0.27237058,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.6962797435392589,2.3981290395994916,2.8443208802417657e-21,0.08625437367961715,0.5609967896745038,0.7893494932212084
0.13123143,2,0.135059,1,0.122971445,2,0.16191453,1,0.14676785,2,0.12432974,1,0.16491702,2,0.15882301,1,0.12067048,2,0.16266121,1,0.12934704,2,0.14731182,1,0.16762243,2,0.13201495,1,0.14772221,2,0.14827189,1,0.16806395,2,0.1746499,1,0.11906566,2,0.13070662,1,0.1180654,2,0.14341646,1,0.121796295,2,0.17019944,1,0.19738959,2,0.22720207,1,0.22528927,2,0.27946496,1,0.26303267,2,0.28194952,1,0.28464088,2,0.2971995,1,0.286551,2,0.2727464,1,0.26431438,2,0.27946007,1,0.2611755,2,0.3004516,1,0.26297706,2,0.2734142,1,0.25072724,2,0.26460752,1,0.2713767,2,0.29505867,1,0.26293242,2,0.27840608,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.699038118875283,1.356768221887559,3.2091022953155825e-21,0.08691475121379715,0.5931266570387573,0.7816569034832809
0.27064005,2,0.2546748,1,0.27445713,2,0.2541405,1,0.2284123,2,0.32484138,1,0.3999988,2,0.3999988,1,0.33110338,2,0.20160884,1,0.20608276,2,0.16660783,1,0.14535105,2,0.13994649,1,0.13885596,2,0.17202452,1,0.14961722,2,0.13705328,1,0.13115822,2,0.14569062,1,0.14665836,2,0.16044131,1,0.17760612,2,0.18706109,1,0.18806511,2,0.17863786,1,0.15911926,2,0.14577878,1,0.13739912,2,0.14115074,1,0.15120466,2,0.1597322,1,0.16789624,2,0.18328322,1,0.1985199,2,0.2017465,1,0.20104787,2,0.213589,1,0.21598792,2,0.22338104,1,0.23804772,2,0.24466242,1,0.24384177,2,0.23936512,1,0.23800626,2,0.24412335,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.8259967967080482,1.5444444376552282,3.1581522064969488e-21,0.12657379275851482,0.5858183254240817,0.7826753766096347
