Layer,Material_Index,Material_Name,Refractive_Index,dOpt,Physical_Thickness_nm
1,2,TiGermania,1.866,0.23894516,136.24740098606645
2,1,SiO2,1.45,0.27072948,198.65942532413797
3,2,TiGermania,1.866,0.27282727,155.56710357984997
4,1,SiO2,1.45,0.26145536,191.85414002758628
5,2,TiGermania,1.866,0.2366551,134.94160042872454
6,1,SiO2,1.45,0.28605962,209.9085763310345
7,2,TiGermania,1.866,0.26993433,153.9175386495177
8,1,SiO2,1.45,0.26536655,194.72414427586207
9,2,TiGermania,1.866,0.2576838,146.93224180064308
10,1,SiO2,1.45,0.2707928,198.7058891034483
11,2,TiGermania,1.866,0.25292093,144.21643596998928
12,1,SiO2,1.45,0.25649846,188.21680099310348
13,2,TiGermania,1.866,0.2436437,138.92652561629154
14,1,SiO2,1.45,0.2529118,185.5849346206897
15,2,TiGermania,1.866,0.26604864,151.70190405144697
16,1,SiO2,1.45,0.2855289,209.51913765517241
17,2,TiGermania,1.866,0.22334532,127.35231536977493
18,1,SiO2,1.45,0.23231973,170.47461566896553
19,2,TiGermania,1.866,0.18829095,107.36418585209005
20,1,SiO2,1.45,0.16892287,123.95443702068968
21,2,TiGermania,1.866,0.13537984,77.19407811361201
22,1,SiO2,1.45,0.13156512,96.54157771034484
23,2,TiGermania,1.866,0.11814727,67.36800390139337
24,1,SiO2,1.45,0.12312172,90.34586902068966
25,2,TiGermania,1.866,0.11358522,64.76670636655949
26,1,SiO2,1.45,0.123274386,90.4578942786207
27,2,TiGermania,1.866,0.13892618,79.21621410503752
28,1,SiO2,1.45,0.13699873,100.52872325517244
29,2,TiGermania,1.866,0.12491867,71.22908085744909
30,1,SiO2,1.45,0.1546774,113.50120937931035
31,2,TiGermania,1.866,0.1529729,87.22570503751339
32,1,SiO2,1.45,0.13775672,101.08493108965519
33,2,TiGermania,1.866,0.119482026,68.12908663665597
34,1,SiO2,1.45,0.16175528,118.69490891034485
35,2,TiGermania,1.866,0.11693467,66.67657496248661
36,1,SiO2,1.45,0.14165296,103.94396513103449
37,2,TiGermania,1.866,0.15865786,90.46728994640945
38,1,SiO2,1.45,0.16024779,117.58872314482761
39,2,TiGermania,1.866,0.1310666,74.73465294748124
40,1,SiO2,1.45,0.12598585,92.44754786206899
41,2,TiGermania,1.866,0.13652466,77.84685864951767
42,1,SiO2,1.45,0.17581764,129.01377169655174
43,2,TiGermania,1.866,0.12589285,71.78456184351553
44,1,SiO2,1.45,0.120043464,88.08706599724138
45,2,TiGermania,1.866,0.13757885,78.44796162915327
